,iso_3,continent,country,year,rate,gdp,oecd,eu27,gseven,gtwenty,brics
129,AFG,AS,Afghanistan,2022,20,22.29326698,0,0,0,0,0
387,AGO,AF,Angola,2022,25,108.8571719,0,0,0,0,0
258,ALB,EU,Albania,2022,15,13.76822523,0,0,0,0,0
86,ARE,AS,United Arab Emirates,2022,0,389.9770359,0,0,0,0,0
473,ARG,SA,Argentina,2022,35,553.6980338,0,0,0,1,0
301,ARM,AS,Armenia,2022,18,13.13890057,0,0,0,0,0
172,ATG,NO,Antigua and Barbuda,2022,25,1.494976992,0,0,0,0,0
602,AUS,OC,Australia,2022,30,1538.451486,1,0,0,1,0
559,AUT,EU,Austria,2022,25,425.322177,1,1,0,0,0
731,AZE,AS,Azerbaijan,2022,20,54.2674532,0,0,0,0,0
1075,BDI,AF,Burundi,2022,30,3.166734396,0,0,0,0,0
903,BEL,EU,Belgium,2022,25,504.1473962,1,1,0,0,0
1118,BEN,AF,Benin,2022,30,16.05133981,0,0,0,0,0
946,BFA,AF,Burkina Faso,2022,27.5,16.41013589,0,0,0,0,0
860,BGD,AS,Bangladesh,2022,30,284.294134,0,0,0,0,0
989,BGR,EU,Bulgaria,2022,10,60.94464695,0,1,0,0,0
1032,BHR,AS,Bahrain,2022,0,35.29160922,0,0,0,0,0
1419,BHS,NO,Bahamas,2022,0,10.80118819,0,0,0,0,0
774,BIH,EU,Bosnia and Herzegovina,2022,10,18.4411457,0,0,0,0,0
1591,BLR,EU,Belarus,2022,18,59.42752124,0,0,0,0,0
1634,BLZ,NO,Belize,2022,0,1.652308727,0,0,0,0,0
1290,BOL,SA,Bolivia (Plurinational State of),2022,25,37.98771004,0,0,0,0,0
1376,BRA,SA,Brazil,2022,34,1877.121658,0,0,0,1,1
817,BRB,NO,Barbados,2022,5.5,4.397341213,0,0,0,0,0
1247,BRN,AS,Brunei Darussalam,2022,18.5,15.01934682,0,0,0,0,0
1462,BTN,AS,Bhutan,2022,25,2.665803152,0,0,0,0,0
1548,BWA,AF,Botswana,2022,22,16.97110761,0,0,0,0,0
1806,CAF,AF,Central African Republic,2022,30,2.050506059,0,0,0,0,0
1677,CAN,NO,Canada,2022,26.21,1765.424757,1,0,1,1,0
1892,CHE,EU,Switzerland,2022,19.699,769.4893368,1,0,0,0,0
2021,CHL,SA,Chile,2022,27,278.2454134,1,0,0,0,0
2107,CHN,AS,China,2022,25,16815.29515,0,0,0,1,1
2064,CMR,AF,Cameroon,2022,33,38.04512485,0,0,0,0,0
1763,COD,AF,Democratic Republic of the Congo,2022,30,49.20485764,0,0,0,0,0
1849,COG,AF,Congo,2022,28,8.046422233,0,0,0,0,0
